category,precision,recall,f1_score,support
body/atopic-dermatitis/bath-shower,0.0,0.0,0.0,0
body/bath-shower/dryness-dehydration,0.0,0.0,0.0,2
body/dehydration/moisturizers,1.0,0.25,0.4,4
body/deodorants,0.0,0.0,0.0,0
body/exfoliators,1.0,1.0,1.0,1
body/feet,1.0,0.3333333333333333,0.5,3
body/female-intimate-hygiene,0.0,0.0,0.0,0
body/firming-care,0.0,0.0,0.0,0
body/moisturisers/seborrheic-dermatitis,0.0,0.0,0.0,0
body/sexuality,0.0,0.0,0.0,3
body/stubborn-fat,1.0,1.0,1.0,1
fragrance,0.0,0.0,0.0,0
fragrance/bath,0.0,0.0,0.0,0
fragrance/fragranced-moisturizers,0.75,1.0,0.8571428571428571,3
fragrance/women,1.0,0.4444444444444444,0.6153846153846154,9
hair/anti-ageing/seruns-leave-in,0.0,0.0,0.0,1
hair/anti-ageing/shampoo,0.0,0.0,0.0,0
hair/brushes-combs,1.0,1.0,1.0,1
hair/colour/conditioners,1.0,1.0,1.0,1
hair/colour/shampoo,0.0,0.0,0.0,0
hair/contitioner,0.0,0.0,0.0,0
hair/contitioner/dry-to-very-dry-hair,0.0,0.0,0.0,1
hair/contitioner/hair-loss,1.0,1.0,1.0,1
hair/contitioner/volume,0.0,0.0,0.0,0
hair/curly-hair/conditioners,1.0,1.0,1.0,1
hair/damaged-hair/conditioners,0.5,1.0,0.6666666666666666,1
hair/dry-damaged-hair/seruns-leave-in,0.0,0.0,0.0,1
hair/dry-damaged-hair/shampoo,0.0,0.0,0.0,1
hair/hair-mask,0.0,0.0,0.0,0
hair/hair-mask/dry-to-very-dry-hair,0.0,0.0,0.0,1
hair/normal-hair/seruns-leave-in,0.0,0.0,0.0,1
hair/normal-hair/shampoo,0.0,0.0,0.0,1
hair/oily-hair/preshampoo-head-scrub,0.0,0.0,0.0,0
hair/preshampoo-head-scrub,0.0,0.0,0.0,2
hair/seruns-leave-in/sensitive-scalp,0.0,0.0,0.0,0
hair/seruns-leave-in/straightening,0.0,0.0,0.0,0
hair/shampoo-dry,1.0,1.0,1.0,1
hair/shampoo/oily-hair,1.0,0.5,0.6666666666666666,2
hair/shampoo/sensitive-scalp,0.0,0.0,0.0,0
hair/shampoo/straightening,1.0,1.0,1.0,1
hair/styling,0.0,0.0,0.0,2
hair/sun-care,0.0,0.0,0.0,0
