ref,itemDescriptionEN,brand,nameEN,encodeNameEN,title,description,full_description
017391NB,Solid Toothpaste Mint Flavor,Naturbrush,Toothpaste,health-care/oral-health/toothpaste,Solid Toothpaste,"Solid Toothpaste provides deep cleansingand is adapted for daily oral hygiene.   A new way to brush your teeth!   A sustainable option and alternative to conventional toothpaste, with xylitol in its composition that hasa power to prevent tooth decayand remove dental plaque is remarkable.  Peppermint oil has antiseptic, antimicrobial and refreshing properties, acting as a 3 in 1.  It presents sodium fluoride (1450 ppm F-) that is present in dental enamel in which itsmain action is to stimulate the remineralization of decalcified enamel,interferingwith the growth and development of bacteria in the dental plate.","Naturbrush Solid Toothpaste Mint Flavor Solid Toothpaste provides deep cleansingand is adapted for daily oral hygiene.   A new way to brush your teeth!   A sustainable option and alternative to conventional toothpaste, with xylitol in its composition that hasa power to prevent tooth decayand remove dental plaque is remarkable.  Peppermint oil has antiseptic, antimicrobial and refreshing properties, acting as a 3 in 1.  It presents sodium fluoride (1450 ppm F-) that is present in dental enamel in which itsmain action is to stimulate the remineralization of decalcified enamel,interferingwith the growth and development of bacteria in the dental plate."
021406YS,Couture Baby Clutch,Yves Saint Laurent,Eye Shadow,makeup/eyes-brows/eye-shadow,Couture Mini Clutch,"Elevate your eye makeup game with YSL Couture Mini Clutch.Discover luxurious textures inspired by the fashion icon's dressing room, promising a radiant, long-lasting look.Feel inspired by the long hours of the Parisian night!Key benefits:Versatile finishes: Includes matte, illuminated, and satin shades.Long-Lasting comfort: 9-hour wear with a creamy, oil-rich formula.Effortless application: Smooth, even coverage with sweet almond oil.Active ingredients:Natural oils and sweet almond oil for nourishment and comfort.Indulge in the essence of high fashion with the YSL Couture Mini Clutch.An essential palette that transforms your eyes with luxurious, blendable shades.Perfect for day-to-night looks, it promises a silky, comfortable finish that lasts, making it a must-have for any beauty enthusiast.","Yves Saint Laurent Couture Baby Clutch Elevate your eye makeup game with YSL Couture Mini Clutch.Discover luxurious textures inspired by the fashion icon's dressing room, promising a radiant, long-lasting look.Feel inspired by the long hours of the Parisian night!Key benefits:Versatile finishes: Includes matte, illuminated, and satin shades.Long-Lasting comfort: 9-hour wear with a creamy, oil-rich formula.Effortless application: Smooth, even coverage with sweet almond oil.Active ingredients:Natural oils and sweet almond oil for nourishment and comfort.Indulge in the essence of high fashion with the YSL Couture Mini Clutch.An essential palette that transforms your eyes with luxurious, blendable shades.Perfect for day-to-night looks, it promises a silky, comfortable finish that lasts, making it a must-have for any beauty enthusiast."
012127GV,Gentleman Society Deodorant Spray,Givenchy,Deodorants,men/perfumes/deodorants,Gentleman Society Spray Deodorant Refreshing,"Elevate your grooming routine with Givenchy Gentleman Society Deodorant Spray — woody floral freshness and long-lasting deodorizing action for the modern man.Step into the Gentleman Society — where sophistication meets freshness!Key Benefits:Long-lasting deodorizing action for all-day confidence;Infused with the woody floral notes of Gentleman Society;Refreshing formula in eco-conscious packaging made from 100% recycled aluminum.Unite your scent and style with Givenchy Gentleman Society Deodorant Spray. Perfect for enhancing your Gentleman Society fragrance, it’s more than a product — it’s a statement of refined masculinity.","Givenchy Gentleman Society Deodorant Spray Elevate your grooming routine with Givenchy Gentleman Society Deodorant Spray — woody floral freshness and long-lasting deodorizing action for the modern man.Step into the Gentleman Society — where sophistication meets freshness!Key Benefits:Long-lasting deodorizing action for all-day confidence;Infused with the woody floral notes of Gentleman Society;Refreshing formula in eco-conscious packaging made from 100% recycled aluminum.Unite your scent and style with Givenchy Gentleman Society Deodorant Spray. Perfect for enhancing your Gentleman Society fragrance, it’s more than a product — it’s a statement of refined masculinity."
023588AD,Epitheliale Ultra Repair HA+ Multi-Repairing Serum,A Derma,First Wrinkles,skin/first-signs-age/seruns,Epitheliale Ultra Repair HA+ Multi-Repairing Serum with Hialuronic Acid,"Discover visibly smoother, firmer skin with A-Derma Epitheliale Ultra Repair HA+ Multi-Repairing —clinically proven to reduce wrinkles by 25% and boost elasticity fast.Rebuild. Replump. Reveal younger-looking skin.Key Benefits:Reduces wrinklesIncreases hyaluronic acidFirms, smooths, and plumps from first use99% natural origin, fragrance-free, veganSuitable for face, neck, eyes, and décolletéFast-absorbing texture with precision pipetteActive Ingredients:Rhealba<sup>®</sup> Oat Extract: stimulates HA productionHigh-concentration Hyaluronic Acid (15%)A-Derma Epitheliale Ultra Repair HA+ Multi-Repairing is your anti-aging essential. With potent hyaluronic acid and regenerative botanical power, it delivers visible, fast-acting results—making it the ultimate daily serum for firmer, smoother, age-defying skin.","A Derma Epitheliale Ultra Repair HA+ Multi-Repairing Serum Discover visibly smoother, firmer skin with A-Derma Epitheliale Ultra Repair HA+ Multi-Repairing —clinically proven to reduce wrinkles by 25% and boost elasticity fast.Rebuild. Replump. Reveal younger-looking skin.Key Benefits:Reduces wrinklesIncreases hyaluronic acidFirms, smooths, and plumps from first use99% natural origin, fragrance-free, veganSuitable for face, neck, eyes, and décolletéFast-absorbing texture with precision pipetteActive Ingredients:Rhealba<sup>®</sup> Oat Extract: stimulates HA productionHigh-concentration Hyaluronic Acid (15%)A-Derma Epitheliale Ultra Repair HA+ Multi-Repairing is your anti-aging essential. With potent hyaluronic acid and regenerative botanical power, it delivers visible, fast-acting results—making it the ultimate daily serum for firmer, smoother, age-defying skin."
005220SO,Silky Purifying Cleansing Milk ,Sensai Kanebo,Normal Skin,skin/cleansers-tonners/normal-skin,Silky Purifying Cleansing Milk,"Silky Purifying Cleansing milk for a gentle removal of make-up.  A care of softness and freshness for all skin types, which quickly eliminates make-up and impurities!   Careful cleansing of your skin.... always!   All skin types.      ","Sensai Kanebo Silky Purifying Cleansing Milk  Silky Purifying Cleansing milk for a gentle removal of make-up.  A care of softness and freshness for all skin types, which quickly eliminates make-up and impurities!   Careful cleansing of your skin.... always!   All skin types.      "
001436DU,Kelual-Squanorm Shampoo Dry Dandruff,Ducray,Dandruff,hair/anti-dandruff/shampoo,Kelual-Squanorm Shampoo for Dry Dandruff,"Say goodbye to dry dandruff with Ducray Kelual-Squanorm Shampoo Dry Dandruff. Experience visible flake reduction and soothing relief from the first use, thanks to advanced PROBIOTIC-SCIENCE technology.<i>Pure comfort, no more flakes!</i>Key Benefits:Eliminates visible dry dandruff from the first washSoothes itching and hydrates the scalp instantlyRebalances the scalp's microbiome with PROBIOTIC-SCIENCELong-lasting protection against dandruff recurrenceActive Ingredients:Piroctone Olamine: Antifungal to control dandruffGlycerin: Deeply hydrates and nourishes the scalpDucray Kelual-Squanorm Shampoo Dry Dandruff offers a groundbreaking, clinically proven solution for dry dandruff, leaving your scalp hydrated, itch-free, and balanced. With lasting protection and a commitment to sustainability, it’s the perfect blend of efficacy and eco-responsibility.","Ducray Kelual-Squanorm Shampoo Dry Dandruff Say goodbye to dry dandruff with Ducray Kelual-Squanorm Shampoo Dry Dandruff. Experience visible flake reduction and soothing relief from the first use, thanks to advanced PROBIOTIC-SCIENCE technology.<i>Pure comfort, no more flakes!</i>Key Benefits:Eliminates visible dry dandruff from the first washSoothes itching and hydrates the scalp instantlyRebalances the scalp's microbiome with PROBIOTIC-SCIENCELong-lasting protection against dandruff recurrenceActive Ingredients:Piroctone Olamine: Antifungal to control dandruffGlycerin: Deeply hydrates and nourishes the scalpDucray Kelual-Squanorm Shampoo Dry Dandruff offers a groundbreaking, clinically proven solution for dry dandruff, leaving your scalp hydrated, itch-free, and balanced. With lasting protection and a commitment to sustainability, it’s the perfect blend of efficacy and eco-responsibility."
015075EL,Sensileave Toothpaste ,Elgydium,Toothpaste,health-care/oral-health/toothpaste,Sensileave Toothpaste,"Sensileave is a toothpaste for immediate and effective relief of pain caused by dental hypersensitivity (sensitive teeth), right on the first application.   Protects and relieves pain associated with hypersensitivity!   Its formula helps to form a protective barrier that blocks exposed dentinal tubules and prevents painful stimuli from passing through.  Composed of fluorinol (nicomethanol fluoriderate, 1350 ppm f-ion), protecting tooth enamel.","Elgydium Sensileave Toothpaste  Sensileave is a toothpaste for immediate and effective relief of pain caused by dental hypersensitivity (sensitive teeth), right on the first application.   Protects and relieves pain associated with hypersensitivity!   Its formula helps to form a protective barrier that blocks exposed dentinal tubules and prevents painful stimuli from passing through.  Composed of fluorinol (nicomethanol fluoriderate, 1350 ppm f-ion), protecting tooth enamel."
010954TA,Bio Enzymes Anti-Ageing Sheet Mask,Talika,Tissue Masks,skin/masks-exfoliators/tissue-masks,Bio Enzymes Anti-Ageing Sheet Mask,"Revive your skin in just 15 minutes!  The Bio enzymes anti-ageing sheet mask is suitable for the skin that is dehydrated, rough, wrinkled and dull.   Skin becomes plumped,illuminated and incredibly moisturised!   This product combines the watermelon extract, rich in antioxidants; tohyaluronic acid and hydrolyzed collagen, with moisturizing and filling action.  Like a second skin, the biocellulose mask perfectly adheres to your face, retaining a high amount of active ingredients and optimizing the skin penetration.","Talika Bio Enzymes Anti-Ageing Sheet Mask Revive your skin in just 15 minutes!  The Bio enzymes anti-ageing sheet mask is suitable for the skin that is dehydrated, rough, wrinkled and dull.   Skin becomes plumped,illuminated and incredibly moisturised!   This product combines the watermelon extract, rich in antioxidants; tohyaluronic acid and hydrolyzed collagen, with moisturizing and filling action.  Like a second skin, the biocellulose mask perfectly adheres to your face, retaining a high amount of active ingredients and optimizing the skin penetration."
001061CQ,Rinse Off Foaming Cleanser ,Clinique,Makeup Removers,makeup/complexion/makeup-removers,Rinse Off Foaming Cleanser Makeup Remover for Dry to Combination Skin,"Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is a mousse cleanser that removes makeup and waste sunscreen, leaving the skin clean, fresh and hydrated. 	 	 	Its creamy formula turns into a rich foam when in contact with water. 	 	 	Taking into account their long lasting formula is recommended for everyday use. 	 ","Clinique Rinse Off Foaming Cleanser  Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is a mousse cleanser that removes makeup and waste sunscreen, leaving the skin clean, fresh and hydrated. 	 	 	Its creamy formula turns into a rich foam when in contact with water. 	 	 	Taking into account their long lasting formula is recommended for everyday use. 	 "
008288LC,Rénergie Multi-Lift,Lancome,Deep Wrinkles,skin/deep-wrinkles/specific-moisturizers,Rénergie Multi-Lift SPF15 all Skin Types,"The Renergie Multi-lift SPF15 is a care inspired by the discoveries of space biology, and itacts on the signs of skin aging, with targeted action on wrinkles, promoting the firmness and density of the skin.   The skin becomes firmer, plumped, redensified, as lifted.   The Up- Coehsion, coupled with the expertise of the Lanc&ocirc;me brand is the main responsible factors for this action.  In just one week firmer,denser skin,, attenuated wrinkles .  After 4 weeks skin visibly filled, in a texture suitable for all skin types.","Lancome Rénergie Multi-Lift The Renergie Multi-lift SPF15 is a care inspired by the discoveries of space biology, and itacts on the signs of skin aging, with targeted action on wrinkles, promoting the firmness and density of the skin.   The skin becomes firmer, plumped, redensified, as lifted.   The Up- Coehsion, coupled with the expertise of the Lanc&ocirc;me brand is the main responsible factors for this action.  In just one week firmer,denser skin,, attenuated wrinkles .  After 4 weeks skin visibly filled, in a texture suitable for all skin types."
