predicted_category,raw_response,status,latency,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled
error,"Error code: 404 - {'error': {'message': 'The model `gpt-oss-20b` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.1879901885986328,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant and long lasting effect!   With high UVB/UVA protection, blue light,IV and pollution, its nourishing and moisturizing texturerepairs thedry lips.  It leaves a long-lasting protective film being pleasant to the lips.  Dermatologically tested.",prompt_01,o3,True,2025-08-07T09:59:21.902852,True
error,"Error code: 404 - {'error': {'message': 'The model `gpt-oss-20b` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.25563836097717285,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical activity.Skin incredibly more hydrated, light and elastic; becoming more soft and beautiful!A gel-serum with a fresh and fluid texture which, thanks to the presence of hyaluronic acid and High Tech Vitamin C (15%) combats oxidative stress caused by external factors or stress, exerting a revitalizing, illuminating, moisturizing and rejuvenating action.",prompt_01,o3,True,2025-08-07T09:59:21.905853,True
error,"Error code: 404 - {'error': {'message': 'The model `gpt-oss-20b` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.26901888847351074,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her and him, these glasses help your vision and protect your eyes from blue light!  Blue light is not necessarily bad for your health. However, the screens of the devices we use so often - smartphones, computers, tablets, ... - emit a great deal of blue light, both during the day and at night. The light they emit can make your eyes tired or irritated. This is called digital eye fatigue.  This is precisely what blue light filter glasses are for: they absorb blue light and prevent it from reaching our eyes, relieving some of the strain.  In the short run, this filter can help you stay focused during the many hours you spend in front of a screen, and in the long run it can even improve your sleep cycle.  The frames give you a look that never goes out of style.",prompt_01,o3,True,2025-08-07T09:59:21.908843,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.6125385761260986,hair/seruns-leave-in/sensitive-scalp,"Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients like Green Tea and Tea Tree Extract, it effectively removes dead skin cells and soothes the scalp. Gentle acids like Citric Acid provide a mild peeling effect, addressing dandruff, excess sebum, and itching. This treatment strengthens hair roots, revitalizes the scalp, and improves blood circulation. Enriched with Snail Mucus, it enhances cell regeneration and calms sensitive scalps. Essential nutrients, including Collagen and Ceramide, nourish the scalp, while Menthol provides a cooling sensation.",prompt_01,o3,True,2025-08-07T09:59:21.912056,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.44467711448669434,skin/loss-firmness/specific-moisturizers,"Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.Lift Confidence. Firm Beauty.Key Benefits:Visibly improves skin firmness and elasticityHelps reshape facial contours to combat saggingRich, fast-absorbing texture for daily useClinically proven results with regular applicationActive Ingredients:Roc<sup>®</sup> THPE: Tightens and lifts the skin's surfaceBugrane Extract: Stimulates natural collagen productionRoc Multi Correxion Firm + Lift Anti-Sagging Firming Cream targets visible signs of aging with clinically backed ingredients. THPE delivers an instant tightening effect, while Bugrane supports long-term firmness by boosting collagen. A daily essential to restore youthful contours and confidence.",prompt_01,o3,True,2025-08-07T09:59:21.914049,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.4066040515899658,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon keratin results and leave hair soft, manageable, and revitalized.Nourish, detangle, and fight frizz: salon-perfect hair at home! Key Benefits: Provides deep nourishment to hair;Disciplines and detangles for smooth, manageable hair;Anti-frizz action keeps hair sleek and polished;Designed to extend the effects of salon keratin treatments when used with K-Smooth shampoo;Suitable for use at home for ongoing hair care.Active Ingredients:Keratin, Coconut Oil, and Sugarcane Extract: restructure, soften, and protect hair with antioxidant and anti-frizz properties, enhancing shine and manageability.Cotril K-Smooth Supreme Keratin Mask is ideal for maintaining the discipline and smoothness of keratin-treated hair. Its rich blend of ingredients helps to detangle, control frizz, and boost moisture, ensuring your hair remains soft, shiny, and beautifully manageable long after your salon treatment.",prompt_01,o3,True,2025-08-07T09:59:21.918417,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.4015693664550781,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peterhof Palace.Step into a timeless dance of scent!What is the story of Korloff Écorce d'Argent Eau de Parfum?Écorce d'Argent invites you to wander through baroque palaces and lush gardens, capturing the essence of magnificent balls and Russia’s architectural splendor. Inspired by Saint Petersburg’s Peterhof Palace, this fragrance melds eternal energy with refined extravagance.Fragrance Features:Created by renowned perfumer Fabrice PellegrinEvokes a luxurious, unforgettable sensory journeyFragrance Composition:The fragrance opens with vibrant top notes of bergamot and pink pepper, offering a spicy and fresh introduction that awakens the senses. At its heart, the composition reveals a rich, woody blend of cypress and vetiver, adding depth and a mysterious smokiness that captures the essence of timeless elegance. Finally, the base settles into a warm, sensual foundation of musk and creamy sandalwood, leaving a delicate yet unforgettable trail that lingers long after the first encounter. This harmonious layering creates a sophisticated and captivating scent journey from start to finish.",prompt_01,o3,True,2025-08-07T09:59:21.921416,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.2690885066986084,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organic acids and anthocyanins.These ingredients work together to gently exfoliate dead skin cells and improve the texture of your skin!With an impressive vitamin content of 84%, it nourishes the skin, promoting elasticity and providing moisturizing care. The toner is alcohol-free and delivers a cooling sensation, making it ideal for revitalizing tired skin on hot summer days.It contains menthol that helps to tighten pores and enhance skin elasticity while leaving a refreshing sensation upon absorption.Key features:<ol>Nutrient-rich formula for minimizing enlarged poresCooling and refreshing without the use of alcoholCreates a moisturizing film without any sticky residue</ol>",prompt_01,o3,True,2025-08-07T09:59:21.923414,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.3743264675140381,makeup/complexion/makeup-removers,"Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is a mousse cleanser that removes makeup and waste sunscreen, leaving the skin clean, fresh and hydrated. 	 	 	Its creamy formula turns into a rich foam when in contact with water. 	 	 	Taking into account their long lasting formula is recommended for everyday use. 	 ",prompt_01,o3,True,2025-08-07T09:59:21.924410,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.1639249324798584,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Thanks to nanotechnology, the active stems from the target cells - melanocytes, in excellent concentrations for maximum efficacy, combined with excellent tolerance.  Effective in high phototypes, post inflammatory hyperpigmentations and melasma.  Lightand reduce the intensity of existing stains and prevents the appearance of new stains.  <small>Composition:Azel&aacute;ic acid, 4-Butylresorcinol, diacetyl boldine, undecilenoil phenylalanine, vitamin C, tranexamic acid, glycirritinn acid, retinol, niacinamide.</small>",prompt_01,o3,True,2025-08-07T09:59:21.926405,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.17813944816589355,skin/facial-oils,"Darphin-Niaouli Essential Oil Care for Overactive Skin -Aromatic oil niaouli essential oil care for overactive skinenhances the natural luminosity of the skin!   A purifying care for a brighter skin!   An oil that combines the exceptional essential oil ingredients of niaouli, lemon, cypress, rosemary, eucalyptus and lavender for an overnight deeply purified skin.  The excess of oiliness, characteristic of mixed to oily skin, is reduced resulting in a balanced complexion, more luminous and radiant.",prompt_01,o3,True,2025-08-07T09:59:21.928391,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.18894219398498535,skin/dehydration/specific-moisturizers,"Bioderma-Hydrabio Cream Rich Moisturizing Care for Dry Skins -Hydrabio Cream Intense and lasting hydration for city and active skins suffering from dehydration and consequent premature skin aging.  The unique biological complex patented Aquagenic present in Hydrabio care line Bioderma generates intense hydration, immediately and permanently.   	Vitamin PP also present strengthens the skin s resistance and impermeability 	Apple seed extract stimulates the activity of aquaporins, which are the natural channels allowing the flow of water within the skin. 	Vitamin E helps protect the skin against oxidative stress and combats premature skin aging.    A rich and nourishing texture that nourishes your skin intensively!   Thanks to an emulsion inspired by the structure of the epidermis, the active ingredients of the patent Aquag&eacute;nium penetrate deeply and in a more targeted way.  The skin regains its natural moisturizing capabilities.  With the elimination of dead cells and progressively reducing the thickness of stratum corneum, salicylic acid is balanced and softens the skin for a radiant complexion long lasting.  ",prompt_01,o3,True,2025-08-07T09:59:21.929386,True
error,"Error code: 404 - {'error': {'message': 'Your organization must be verified to use the model `o3`. Please go to: https://platform.openai.com/settings/organization/general and click on Verify Organization. If you just verified, it can take up to 15 minutes for access to propagate.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",error,0.14580130577087402,hair/shampoo/volume,"Nuggela Sule-Green Shampoo-Boost volume and strength naturally with Nuggela &amp; Sulé Green Shampoo. Vegan-friendly, protein-packed, and ideal for fine or fragile hair.Green power for thicker, stronger hair!Key Benefits:Enhances volume and strengthens hair fibers.Protects hair with natural, protein-rich ingredients.Reduces hair loss and promotes regeneration.Adds shine and vitality for visibly healthier hair.Active Ingredients:FO-TI root extract: Stimulates growth and strength.Andean maca: A powerhouse of plant proteins.Red onion extract: Nourishes follicles and reduces hair fall.Nori seaweed extract: Rich in marine proteins to fortify hair.Awarded ""Best Cosmetic Product"" by Esquire</i>, Nuggela &amp; Sulé Green Shampoo is a must-have for vegans and vegetarians seeking vibrant, healthy hair. Its natural formula restores protein levels, giving fine or fragile hair new life with lasting volume and strength!",prompt_01,o3,True,2025-08-07T09:59:21.931379,True
